keyword,location,title,address,phone,website,rating,reviews,place_id,data_id,serpapi_link,needs_scraping
home builders,07620,Joseph Di Staulo Homes,"Cresskill, NJ",(201) 816-8009,,5.0,4,18302425279704440130,,,YES
home builders,07620,GTG Custom Home Builders,"Flemington, NJ",(877) 864-3532,,4.9,28,15224043504414839367,,,YES
home builders,07620,"Premier Design Custom Homes, LLC","Westfield, NJ",(201) 370-3274,,4.9,17,12066091379968838183,,,YES
home builders,07620,Michael Robert Construction,"Westfield, NJ",(908) 232-0134,,4.9,29,8249937355848683267,,,YES
home builders,07620,"Deerpath Custom Builders, llc","Warren, NJ",(908) 233-3539,,4.6,21,14677698780656155995,,,YES
home builders,07620,White Maple Construction,"Oakland, NJ",(201) 579-0627,,4.8,21,9205063353357686531,,,YES
home builders,07620,Paladino Enterprises,"Mahwah, NJ",(201) 574-8011,,5.0,42,16720655866947589397,,,YES
home builders,07620,Diamond Builders Inc,"Jackson Township, NJ",(908) 670-6911,,5.0,15,4538188771521415780,,,YES
home builders,07620,Monarch Contracting LLC,"Alpine, NJ",(551) 269-2444,,5.0,14,17598911950377706923,,,YES
home builders,07620,Nexgen Builders,"Lakewood, NJ",(732) 987-4256,,4.9,61,15566787426033607534,,,YES
home builders,07620,Schaeffer Homes,"Cherry Hill Township, NJ",(856) 208-5118,,3.5,34,14761139816815997688,,,YES
home builders,07620,RJT Custom Builders,,(201) 500-8023,,5.0,3,8552474875773752839,,,YES
home builders,07620,Pangione Developers Inc – Home Additions & Remodeling Contractors in Bergen County NJ,"Edgewater, NJ",(201) 774-3733,,4.3,6,17010881035911147984,,,YES
home builders,07620,"Prominent Builders & Design, LLC","Glen Rock, NJ",(201) 634-1500,,,,15617488945117380271,,,YES
home builders,07620,TanDor Development,"Tenafly, NJ",(917) 514-2335,,5.0,4,7097202029548814067,,,YES
home builders,07620,A&J Custom Builders,,(201) 772-1110,,5.0,6,12994763159535437381,,,YES
